vehicle_id,driver_id,driver_name,vehicle_type,timestamp,gps_latitude,gps_longitude,speed_kmh,fuel_consumption_rate,fuel_level_pct,distance_remaining_km,traffic_congestion,weather_condition,trip_progress_pct,delivery_status,delay_risk,estimated_arrival_time_min
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T11:15:54.206321,20.84756,72.83828,76.1,30.96,35.7,196.17,Low,Clear,84.2,In Transit,Low,152.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T11:19:54.206321,20.25704,72.85142,80.6,30.86,32.2,130.78,Low,Clear,89.5,In Transit,Low,97.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T11:23:54.206321,19.66652,72.86456,40.2,48.78,32.1,65.39,Severe,Clear,94.7,High Risk,High,195.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-27T11:27:54.206321,19.076,72.8777,57.8,43.61,25.0,0.0,High,Clear,100.0,In Transit,Moderate,2.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:11:54.206321,28.6139,77.209,54.0,43.14,97.1,1242.38,Moderate,Fog,0.0,High Risk,High,2234.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:15:54.206321,28.13585,76.8315,69.4,37.16,94.3,1176.99,Moderate,Fog,5.3,High Risk,High,1646.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:19:54.206321,27.65693,76.44816,53.1,41.27,96.7,1111.6,High,Fog,10.5,High Risk,High,2539.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:23:54.206321,27.19431,76.03753,48.5,45.48,88.9,1046.22,High,Fog,15.8,High Risk,High,2623.2
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:27:54.206321,26.72033,75.64603,75.6,37.68,82.2,980.83,Low,Fog,21.1,High Risk,High,1050.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:31:54.206321,26.22862,75.28438,57.2,41.06,79.7,915.44,Moderate,Fog,26.3,High Risk,High,1554.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:35:54.206321,25.73692,74.92272,71.0,34.83,77.7,850.05,Low,Fog,31.6,High Risk,High,972.2
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:39:54.206321,25.26393,74.53792,67.0,45.01,69.1,784.66,High,Fog,36.8,High Risk,High,1424.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:43:54.206321,24.86862,74.05702,80.3,38.3,69.1,719.27,Low,Fog,42.1,High Risk,High,728.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:47:54.206321,24.44642,73.61103,72.1,38.33,67.5,653.89,Low,Fog,47.4,High Risk,High,733.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:51:54.206321,23.95634,73.25322,70.5,40.87,56.8,588.5,Low,Fog,52.6,High Risk,High,676.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:55:54.206321,23.46626,72.8954,63.6,41.8,56.9,523.11,Moderate,Fog,57.9,High Risk,High,804.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T00:59:54.206321,22.97874,72.60871,75.8,37.38,51.5,457.72,Low,Fog,63.2,High Risk,High,491.3
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T01:03:54.206321,22.51567,73.00348,40.6,45.21,46.8,392.33,High,Fog,68.4,High Risk,High,1177.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T01:07:54.206321,21.99517,73.08512,63.8,36.02,43.4,326.94,Moderate,Fog,73.7,High Risk,High,490.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T01:11:54.206321,21.42765,72.91037,69.4,34.6,44.2,261.55,Low,Fog,78.9,High Risk,High,305.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T01:15:54.206321,20.84756,72.83828,70.2,35.33,38.0,196.17,Low,Fog,84.2,High Risk,High,225.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T01:19:54.206321,20.25704,72.85142,69.3,39.01,29.4,130.78,Low,Fog,89.5,High Risk,High,150.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T01:23:54.206321,19.66652,72.86456,39.9,53.75,31.9,65.39,Severe,Fog,94.7,Delayed,High,262.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T01:27:54.206321,19.076,72.8777,74.7,35.25,27.7,0.0,Low,Fog,100.0,Arrived,Low,0.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:11:54.206321,28.6139,77.209,56.0,38.89,102.1,1242.38,High,Clear,0.0,High Risk,High,1990.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:15:54.206321,28.13585,76.8315,74.5,35.67,94.0,1176.99,Moderate,Clear,5.3,High Risk,High,1141.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:19:54.206321,27.65693,76.44816,83.4,33.46,90.3,1111.6,Low,Clear,10.5,In Transit,Low,800.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:23:54.206321,27.19431,76.03753,74.4,36.7,89.3,1046.22,Moderate,Clear,15.8,High Risk,High,1014.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:27:54.206321,26.72033,75.64603,90.6,31.94,85.9,980.83,Low,Clear,21.1,In Transit,Low,649.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:31:54.206321,26.22862,75.28438,77.8,37.76,84.6,915.44,Moderate,Clear,26.3,High Risk,High,839.3
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:35:54.206321,25.73692,74.92272,69.1,41.44,78.4,850.05,High,Clear,31.6,High Risk,High,1105.3
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:39:54.206321,25.26393,74.53792,57.8,43.77,73.0,784.66,High,Clear,36.8,High Risk,High,1227.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:43:54.206321,24.86862,74.05702,83.7,35.83,68.7,719.27,Low,Clear,42.1,In Transit,Low,516.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:47:54.206321,24.44642,73.61103,58.4,39.85,65.1,653.89,High,Clear,47.4,High Risk,High,1008.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:51:54.206321,23.95634,73.25322,72.5,37.0,62.1,588.5,Moderate,Clear,52.6,High Risk,High,589.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:55:54.206321,23.46626,72.8954,85.9,31.02,55.7,523.11,Low,Clear,57.9,In Transit,Low,365.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T14:59:54.206321,22.97874,72.60871,89.1,35.83,55.7,457.72,Low,Clear,63.2,In Transit,Low,312.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T15:03:54.206321,22.51567,73.00348,63.0,38.29,44.6,392.33,Moderate,Clear,68.4,High Risk,High,447.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T15:07:54.206321,21.99517,73.08512,86.9,32.87,46.9,326.94,Low,Clear,73.7,In Transit,Low,224.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T15:11:54.206321,21.42765,72.91037,59.5,40.22,46.4,261.55,High,Clear,78.9,High Risk,High,398.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T15:15:54.206321,20.84756,72.83828,70.6,32.7,39.4,196.17,Low,Clear,84.2,In Transit,Low,164.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T15:19:54.206321,20.25704,72.85142,87.0,35.37,31.9,130.78,Low,Clear,89.5,In Transit,Low,92.2
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T15:23:54.206321,19.66652,72.86456,89.7,31.28,32.7,65.39,Low,Clear,94.7,In Transit,Low,47.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-28T15:27:54.206321,19.076,72.8777,90.7,34.47,24.7,0.0,Low,Clear,100.0,Arrived,Low,2.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:11:54.206321,28.6139,77.209,55.1,44.46,95.7,1242.38,High,Clear,0.0,High Risk,High,2024.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:15:54.206321,28.13585,76.8315,77.2,33.22,95.5,1176.99,Low,Clear,5.3,In Transit,Low,921.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:19:54.206321,27.65693,76.44816,90.0,34.53,93.9,1111.6,Low,Clear,10.5,In Transit,Low,741.2
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:23:54.206321,27.19431,76.03753,76.2,37.13,86.9,1046.22,Moderate,Clear,15.8,High Risk,High,990.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:27:54.206321,26.72033,75.64603,45.4,42.6,85.6,980.83,High,Clear,21.1,High Risk,High,1945.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:31:54.206321,26.22862,75.28438,41.0,50.06,77.3,915.44,Severe,Clear,26.3,High Risk,High,2675.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:35:54.206321,25.73692,74.92272,53.6,49.35,79.6,850.05,Severe,Clear,31.6,High Risk,High,1905.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:39:54.206321,25.26393,74.53792,82.9,29.75,75.6,784.66,Low,Clear,36.8,In Transit,Low,571.3
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:43:54.206321,24.86862,74.05702,91.4,35.85,68.9,719.27,Low,Clear,42.1,In Transit,Low,473.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:47:54.206321,24.44642,73.61103,87.5,35.08,62.1,653.89,Low,Clear,47.4,In Transit,Low,448.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:51:54.206321,23.95634,73.25322,54.5,39.75,59.3,588.5,Moderate,Clear,52.6,High Risk,High,772.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:55:54.206321,23.46626,72.8954,75.5,34.88,54.9,523.11,Low,Clear,57.9,In Transit,Low,415.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T04:59:54.206321,22.97874,72.60871,71.8,31.89,51.4,457.72,Low,Clear,63.2,In Transit,Low,379.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T05:03:54.206321,22.51567,73.00348,44.4,40.69,51.3,392.33,High,Clear,68.4,High Risk,High,800.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T05:07:54.206321,21.99517,73.08512,75.2,35.43,44.9,326.94,Moderate,Clear,73.7,High Risk,High,315.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T05:11:54.206321,21.42765,72.91037,56.3,42.31,40.1,261.55,High,Clear,78.9,High Risk,High,417.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T05:15:54.206321,20.84756,72.83828,56.0,42.11,35.3,196.17,High,Clear,84.2,High Risk,High,310.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T05:19:54.206321,20.25704,72.85142,87.1,32.88,32.0,130.78,Low,Clear,89.5,In Transit,Low,94.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T05:23:54.206321,19.66652,72.86456,46.6,46.63,31.9,65.39,Severe,Clear,94.7,High Risk,High,162.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T05:27:54.206321,19.076,72.8777,74.2,38.04,23.8,0.0,Moderate,Clear,100.0,Arrived,Low,0.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:11:54.206321,28.6139,77.209,72.0,37.17,101.1,1242.38,Low,Rain,0.0,High Risk,High,1296.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:15:54.206321,28.13585,76.8315,65.2,37.02,98.3,1176.99,Moderate,Rain,5.3,High Risk,High,1620.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:19:54.206321,27.65693,76.44816,58.9,37.3,92.7,1111.6,Moderate,Rain,10.5,High Risk,High,1697.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:23:54.206321,27.19431,76.03753,72.8,35.72,89.0,1046.22,Low,Rain,15.8,High Risk,High,1078.3
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:27:54.206321,26.72033,75.64603,50.8,42.18,83.9,980.83,High,Rain,21.1,High Risk,High,2165.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:31:54.206321,26.22862,75.28438,55.2,38.39,80.7,915.44,Moderate,Rain,26.3,High Risk,High,1492.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:35:54.206321,25.73692,74.92272,72.2,37.91,75.2,850.05,Low,Rain,31.6,High Risk,High,885.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:39:54.206321,25.26393,74.53792,74.6,34.66,71.4,784.66,Low,Rain,36.8,High Risk,High,787.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:43:54.206321,24.86862,74.05702,70.3,37.72,70.1,719.27,Low,Rain,42.1,High Risk,High,767.2
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:47:54.206321,24.44642,73.61103,59.2,38.3,64.7,653.89,Moderate,Rain,47.4,High Risk,High,993.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:51:54.206321,23.95634,73.25322,84.3,33.78,57.3,588.5,Low,Rain,52.6,High Risk,High,527.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:55:54.206321,23.46626,72.8954,65.6,34.32,55.9,523.11,Moderate,Rain,57.9,High Risk,High,718.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T18:59:54.206321,22.97874,72.60871,70.9,37.73,56.2,457.72,Low,Rain,63.2,High Risk,High,484.3
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T19:03:54.206321,22.51567,73.00348,79.2,35.57,52.1,392.33,Low,Rain,68.4,High Risk,High,372.0
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T19:07:54.206321,21.99517,73.08512,69.6,34.43,40.9,326.94,Low,Rain,73.7,High Risk,High,346.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T19:11:54.206321,21.42765,72.91037,60.0,37.29,39.6,261.55,Moderate,Rain,78.9,High Risk,High,386.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T19:15:54.206321,20.84756,72.83828,74.7,36.1,34.9,196.17,Low,Rain,84.2,High Risk,High,196.3
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T19:19:54.206321,20.25704,72.85142,43.1,51.05,37.1,130.78,Severe,Rain,89.5,High Risk,High,451.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T19:23:54.206321,19.66652,72.86456,73.7,36.77,28.4,65.39,Low,Rain,94.7,In Transit,Low,61.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-29T19:27:54.206321,19.076,72.8777,73.3,35.31,26.8,0.0,Moderate,Rain,100.0,Arrived,Low,0.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:11:54.206321,28.6139,77.209,64.8,32.33,99.1,1242.38,Low,Rain,0.0,High Risk,High,1437.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:15:54.206321,28.13585,76.8315,49.6,44.54,91.7,1176.99,High,Rain,5.3,High Risk,High,2669.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:19:54.206321,27.65693,76.44816,62.3,40.78,94.4,1111.6,Moderate,Rain,10.5,High Risk,High,1599.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:23:54.206321,27.19431,76.03753,62.1,43.26,89.0,1046.22,High,Rain,15.8,High Risk,High,1898.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:27:54.206321,26.72033,75.64603,78.0,37.53,85.1,980.83,Low,Rain,21.1,High Risk,High,946.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:31:54.206321,26.22862,75.28438,70.7,34.57,81.0,915.44,Low,Rain,26.3,High Risk,High,971.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:35:54.206321,25.73692,74.92272,70.6,33.76,76.9,850.05,Low,Rain,31.6,High Risk,High,902.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:39:54.206321,25.26393,74.53792,58.6,38.75,71.3,784.66,Moderate,Rain,36.8,High Risk,High,1204.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:43:54.206321,24.86862,74.05702,62.1,37.18,71.4,719.27,Moderate,Rain,42.1,High Risk,High,1051.2
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:47:54.206321,24.44642,73.61103,80.7,32.42,64.2,653.89,Low,Rain,47.4,High Risk,High,608.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:51:54.206321,23.95634,73.25322,67.8,33.18,61.6,588.5,Low,Rain,52.6,High Risk,High,650.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:55:54.206321,23.46626,72.8954,46.6,43.7,58.5,523.11,High,Rain,57.9,High Risk,High,1256.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T08:59:54.206321,22.97874,72.60871,83.3,34.39,51.6,457.72,Low,Rain,63.2,High Risk,High,410.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T09:03:54.206321,22.51567,73.00348,82.6,34.23,46.4,392.33,Low,Rain,68.4,High Risk,High,354.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T09:07:54.206321,21.99517,73.08512,78.8,33.37,41.3,326.94,Low,Rain,73.7,High Risk,High,311.8
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T09:11:54.206321,21.42765,72.91037,50.6,41.84,41.8,261.55,High,Rain,78.9,High Risk,High,580.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T09:15:54.206321,20.84756,72.83828,79.0,32.86,35.9,196.17,Low,Rain,84.2,High Risk,High,190.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T09:19:54.206321,20.25704,72.85142,64.7,35.11,35.2,130.78,Low,Rain,89.5,High Risk,High,151.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T09:23:54.206321,19.66652,72.86456,74.8,34.88,29.4,65.39,Low,Rain,94.7,In Transit,Moderate,71.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T09:27:54.206321,19.076,72.8777,61.3,36.71,23.0,0.0,Moderate,Rain,100.0,Arrived,Low,0.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:11:54.206321,28.6139,77.209,54.3,49.46,101.6,1242.38,Severe,Clear,0.0,High Risk,High,2744.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:15:54.206321,28.13585,76.8315,80.0,37.99,98.5,1176.99,Moderate,Clear,5.3,High Risk,High,1061.4
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:19:54.206321,27.65693,76.44816,65.3,38.51,93.4,1111.6,Moderate,Clear,10.5,High Risk,High,1222.1
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:23:54.206321,27.19431,76.03753,92.6,31.29,85.3,1046.22,Low,Clear,15.8,In Transit,Low,683.6
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:27:54.206321,26.72033,75.64603,82.3,35.31,81.8,980.83,Low,Clear,21.1,In Transit,Low,715.9
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:31:54.206321,26.22862,75.28438,76.7,34.25,79.1,915.44,Low,Clear,26.3,In Transit,Low,717.7
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:35:54.206321,25.73692,74.92272,56.8,42.84,79.6,850.05,High,Clear,31.6,High Risk,High,1344.5
TRK-101,DRV-801,Rajesh Sharma,Heavy Freight (Tata Prima 5530.S),2026-08-30T22:39:54.206321,25.26393,74.53792,73.2,35.95,71.5,784.66,Moderate,Clear,36.8,High Risk,High,762.8
